time,push,resist,retreat,tube test
10.133,0,0,0,1
10.166,0,0,0,1
10.199,0,0,0,1
10.232,0,0,0,1
10.265,0,0,0,1
10.298,0,0,0,1
10.331,0,0,0,1
10.364,0,0,0,1
10.397,0,0,0,1
10.43,0,0,0,1
10.463,0,0,0,1
10.496,0,0,0,1
10.529,0,0,0,1
10.562,0,0,0,1
10.595,0,0,0,1
10.628,0,0,0,1
10.661,0,0,0,1
10.694,0,0,0,1
10.727,0,0,0,1
10.76,0,0,0,1
10.793,0,0,0,1
10.826,0,0,0,1
10.859,0,0,0,1
10.892,0,0,0,1
10.925,0,0,0,1
10.958,0,0,0,1
10.991,0,0,0,1
11.024,0,0,0,1
11.057,0,0,0,1
11.09,0,0,0,1
11.123,0,0,0,1
11.156,0,0,0,1
11.189,0,0,0,1
11.222,0,0,0,1
11.255,0,0,0,1
11.288,0,0,0,1
11.321,0,0,0,1
11.354,0,0,0,1
11.387,0,0,0,1
11.42,0,0,0,1
11.453,0,0,0,1
11.486,0,0,0,1
11.519,0,0,0,1
11.552,0,0,0,1
11.585,0,0,0,1
11.618,0,0,0,1
11.651,0,0,0,1
11.684,0,0,0,1
11.717,0,0,0,1
11.75,0,0,0,1
11.783,0,0,0,1
11.816,0,0,0,1
11.849,0,0,0,1
11.882,0,0,0,1
11.915,0,0,0,1
11.948,0,0,0,1
11.981,0,0,0,1
12.014,0,0,0,1
12.047,0,0,0,1
12.08,0,0,0,1
12.113,0,0,0,1
12.146,0,0,0,1
12.179,0,0,0,1
12.212,0,0,0,1
12.245,0,0,0,1
12.278,0,0,0,1
12.311,0,0,0,1
12.344,0,0,0,1
12.377,0,0,0,1
12.41,0,0,0,1
12.443,0,0,0,1
12.476,0,0,0,1
12.509,0,0,0,1
12.542,0,0,0,1
12.575,0,0,0,1
12.608,0,0,0,1
12.641,0,0,0,1
12.674,0,0,0,1
12.707,0,0,0,1
12.74,0,0,0,1
12.773,0,0,0,1
12.806,0,0,0,1
12.839,0,0,0,1
12.872,0,0,0,1
12.905,0,0,0,1
12.938,0,0,0,1
12.971,0,0,0,1
13.004,0,0,0,1
13.037,0,0,0,1
13.07,0,0,0,1
13.103,0,0,0,1
13.136,0,0,0,1
13.169,0,0,0,1
13.202,0,0,0,1
13.235,0,0,0,1
13.268,0,0,0,1
13.301,0,0,0,1
13.334,0,0,0,1
13.367,0,0,0,1
13.4,0,0,0,1
13.433,0,0,0,1
13.466,0,0,0,1
13.499,0,0,0,1
13.532,0,0,0,1
13.565,0,0,0,1
13.598,0,0,0,1
13.631,0,0,0,1
13.664,0,0,0,1
13.697,0,0,0,1
13.73,0,0,0,1
13.763,0,0,0,1
13.796,0,0,0,1
13.829,0,0,0,1
13.862,0,0,0,1
13.895,0,0,0,1
13.928,0,0,0,1
13.961,0,0,0,1
13.994,0,0,0,1
14.027,0,0,0,1
14.06,0,0,0,1
14.093,0,0,0,1
14.126,0,0,0,1
14.159,0,0,0,1
14.192,0,0,0,1
14.225,0,0,0,1
14.258,0,0,0,1
14.291,0,0,0,1
14.324,0,0,0,1
14.357,0,0,0,1
14.39,0,0,0,1
14.423,0,0,0,1
14.456,0,0,0,1
14.489,0,0,0,1
14.522,0,0,0,1
14.555,0,0,0,1
14.588,0,0,0,1
14.621,0,0,0,1
14.654,0,0,0,1
14.687,0,0,0,1
14.72,0,0,0,1
14.753,0,0,0,1
14.786,0,0,0,1
14.819,0,0,0,1
14.852,0,0,0,1
14.885,0,0,0,1
14.918,0,0,0,1
14.951,0,0,0,1
14.984,0,0,0,1
15.017,0,0,0,1
15.05,0,0,0,1
15.083,0,0,0,1
15.116,0,0,0,1
15.149,0,0,0,1
15.182,0,0,0,1
15.215,0,0,0,1
15.248,0,0,0,1
15.281,0,0,0,1
15.314,0,0,0,1
15.347,0,0,0,1
15.38,0,0,0,1
15.413,0,0,0,1
15.446,0,0,0,1
15.479,0,0,0,1
15.512,0,0,0,1
15.545,0,0,0,1
15.578,0,0,0,1
15.611,0,0,0,1
15.644,0,0,0,1
15.677,0,0,0,1
15.71,0,0,0,1
15.743,0,0,0,1
15.776,0,0,0,1
15.809,0,0,0,1
15.842,0,0,0,1
15.875,0,0,0,1
15.908,0,0,0,1
15.941,0,0,0,1
15.974,0,0,0,1
16.007,0,0,0,1
16.04,0,0,0,1
16.073,0,0,0,1
16.106,0,0,0,1
16.139,0,0,0,1
16.172,0,0,0,1
16.205,0,0,0,1
16.238,0,0,0,1
16.271,0,0,0,1
16.304,0,0,0,1
16.337,0,0,0,1
16.37,0,0,0,1
16.403,0,0,0,1
16.436,0,0,0,1
16.469,0,0,0,1
16.502,0,0,0,1
16.535,0,0,0,1
16.568,0,0,0,1
16.601,0,0,0,1
